     n, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time
   428,      5802,        1145,       2268,     6222,       3402,      3545
   429,      5415,        1171,       2137,     6237,       3430,      3539
   430,      5483,        1161,       2282,     6258,       3433,      3464
   431,      5504,        1202,       2294,     6272,       3431,      3598
   432,      5408,        1200,       2144,     6292,       3437,      3535
   433,      5460,        1182,       2099,     6308,       3458,      3615
   434,      5608,        1158,       2260,     6302,       3448,      3595
   435,      5362,        1182,       2158,     6336,       3473,      3545
   436,      5412,        1186,       2168,     6344,       3468,      3645
   437,      5506,        1242,       2211,     6347,       3478,      3530
   438,      5607,        1237,       2384,     6365,       3484,      3536
   439,      5609,        1220,       2220,     6393,       3493,      3683
   440,      5745,        1208,       2238,     6409,       3506,      3571
   441,      5506,        1213,       2343,     6430,       3520,      3654
   442,      5332,        1233,       2143,     6438,       3515,      3567
   443,      5577,        1257,       2351,     6468,       3533,      3785
   444,      5571,        1224,       2223,     6483,       3549,      3717
   445,      5822,        1243,       2288,     6505,       3550,      3655
   446,      5476,        1241,       2257,     6514,       3561,      3882
   447,      5477,        1252,       2222,     6527,       3581,      3725
   448,      5535,        1250,       2261,     6544,       3576,      3700
   449,      5835,        1240,       2225,     6565,       3602,      3758
   450,      5557,        1253,       2209,     6590,       3609,      3665
   451,      5717,        1242,       2370,     6627,       3628,      3743
   452,      5676,        1268,       2239,     6625,       3636,      3756
   453,      5476,        1306,       2270,     6636,       3633,      3720
   454,      6023,        1264,       2423,     6659,       3642,      3829
   455,      6096,        1260,       2437,     6684,       3661,      3833
   456,      5699,        1275,       2326,     6691,       3660,      3785
   457,      6305,        1264,       2459,     6704,       3670,      3828
   458,      6101,        1263,       2391,     6737,       3690,      3841
   459,      5699,        1318,       2329,     6742,       3688,      3859
   460,      5818,        1261,       2288,     6758,       3706,      3797
   461,      5687,        1301,       2305,     6778,       3707,      3843
   462,      5600,        1294,       2344,     6788,       3706,      3841
   463,      5807,        1290,       2223,     6787,       3708,      3842
   464,      5534,        1316,       2303,     6820,       3714,      4104
   465,      6236,        1333,       2462,     6848,       3738,      3848
   466,      5732,        1338,       2328,     6864,       3753,      3938
   467,      5699,        1329,       2394,     6882,       3750,      3775
   468,      5661,        1316,       2393,     6908,       3768,      4084
   469,      6266,        1308,       2462,     6904,       3773,      4002
   470,      5937,        1299,       2540,     6932,       3780,      3853
   471,      5643,        1319,       2319,     6945,       3796,      3909
   472,      5964,        1323,       2364,     6951,       3792,      4106
   473,      6491,        1308,       2577,     6973,       3814,      3872
   474,      6025,        1330,       2517,     6984,       3805,      4026
   475,      5814,        1341,       2265,     6989,       3813,      4022
   476,      6308,        1337,       2509,     7021,       3835,      4068
   477,      5793,        1341,       2450,     7041,       3845,      3977
   478,      6322,        1328,       2446,     7039,       3829,      4032
   479,      6091,        1329,       2479,     7067,       3859,      3924
   480,      6191,        1332,       2597,     7102,       3878,      3992
   481,      6494,        1355,       2474,     7107,       3873,      4041
   482,      5790,        1368,       2415,     7120,       3890,      3978
   483,      6098,        1353,       2483,     7142,       3908,      4049
   484,      6227,        1353,       2500,     7152,       3895,      4216
   485,      6132,        1376,       2495,     7162,       3919,      4119
   486,      5960,        1393,       2428,     7187,       3924,      4393
   487,      6307,        1358,       2864,     7176,       3912,      3988
   488,      6339,        1382,       2558,     7241,       3952,      4093
   489,      5926,        1389,       2475,     7256,       3964,      4005
   490,      6470,        1373,       2648,     7282,       3984,      4163
   491,      6539,        1351,       2559,     7298,       3970,      4181
   492,      6128,        1387,       2472,     7311,       3978,      4157
   493,      6285,        1370,       2549,     7332,       3991,      4355
   494,      6194,        1380,       2447,     7353,       4012,      4150
   495,      7055,        1363,       2705,     7345,       4002,      4173
   496,      6713,        1398,       2633,     7361,       4020,      4109
   497,      6786,        1390,       2750,     7374,       4025,      4155
   498,      6278,        1410,       2505,     7412,       4040,      4217
   499,      6625,        1402,       2610,     7428,       4049,      4155
   500,      6175,        1422,       2554,     7432,       4066,      4144
   501,      6660,        1395,       2736,     7453,       4072,      4231
   502,      6461,        1398,       2874,     7471,       4069,      4561
   503,      6290,        1422,       2625,     7483,       4086,      4213
   504,      6568,        1419,       2627,     7487,       4086,      4224
   505,      6651,        1418,       2659,     7521,       4093,      4313
   506,      6958,        1439,       2689,     7551,       4101,      4257
   507,      6556,        1425,       2699,     7564,       4123,      4675
   508,      6561,        1468,       3034,     7587,       4144,      4434
   509,      6458,        1450,       2790,     7587,       4138,      4324
   510,      6534,        1449,       2628,     7619,       4147,      4232
   511,      6496,        1478,       2803,     7629,       4167,      4319
   512,      6543,        1467,       2686,     7660,       4174,      4306
   513,      7002,        1430,       2714,     7673,       4171,      4346
   514,      6597,        1446,       2647,     7687,       4186,      4359
   515,      6593,        1454,       2582,     7698,       4204,      4308
   516,      6414,        1499,       2768,     7710,       4195,      4314
   517,      6286,        1476,       2522,     7745,       4225,      4405
   518,      6443,        1487,       2664,     7767,       4233,      4305
   519,      6873,        1483,       2740,     7764,       4233,      4343
   520,      6901,        1452,       2766,     7796,       4246,      4395
   521,      7785,        1449,       2869,     7817,       4266,      4499
   522,      7003,        1435,       2743,     7837,       4269,      4321
   523,      6575,        1486,       2723,     7860,       4287,      4342
   524,      6839,        1485,       3106,     7882,       4286,      4440
   525,      6837,        1500,       2744,     7912,       4320,      4603
   526,      6835,        1482,       2767,     7906,       4324,      4427
   527,      7841,        1428,       2969,     7923,       4320,      4552
   528,      6539,        1502,       2728,     7955,       4337,      4398
   529,      7307,        1477,       2825,     7975,       4337,      4729
   530,      6688,        1503,       2674,     7975,       4338,      4443
   531,      6569,        1506,       2641,     7997,       4366,      4560
   532,      7049,        1502,       2868,     8047,       4381,      4414
   533,      7021,        1517,       2724,     8037,       4373,      4567
   534,      6843,        1528,       2795,     8054,       4385,      4504
   535,      7449,        1507,       2864,     8083,       4409,      4536
   536,      7475,        1519,       3136,     8074,       4382,      4465
   537,      7808,        1514,       3004,     8097,       4419,      4555
   538,      7018,        1542,       2810,     8113,       4419,      4600
   539,      7738,        1492,       2987,     8144,       4422,      4561
   540,      7538,        1535,       2930,     8169,       4457,      4474
   541,      6791,        1555,       2845,     8177,       4444,      4538
   542,      7309,        1516,       2797,     8182,       4446,      4814
   543,      7851,        1537,       3072,     8231,       4488,      4600
   544,      6777,        1551,       2762,     8245,       4501,      4604
   545,      7065,        1545,       2917,     8251,       4477,      4565
   546,      7001,        1582,       2852,     8256,       4492,      4600
   547,      7895,        1540,       3165,     8295,       4508,      4690
   548,      7898,        1540,       3541,     8318,       4534,      5243
   549,      7203,        1579,       3085,     8313,       4532,      4684
   550,      7292,        1584,       3142,     8351,       4549,      5256
