   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 839,              ,                ,               ,     11925,        2480,       4930,              ,                ,               ,    13760,       7455,      8555
 840,              ,                ,               ,     12556,        2515,       5230,              ,                ,               ,    13821,       7472,      8262
 841,              ,                ,               ,     12197,        2498,       4974,              ,                ,               ,    13822,       7451,     10424
 842,              ,                ,               ,     11816,        2482,       5544,              ,                ,               ,    13812,       7454,      8574
 843,              ,                ,               ,     12921,        2506,       5415,              ,                ,               ,    13850,       7498,      8451
 844,              ,                ,               ,     11720,        2518,       4835,              ,                ,               ,    13872,       7500,      8498
 845,              ,                ,               ,     11688,        2510,       4950,              ,                ,               ,    13867,       7490,      8542
 846,              ,                ,               ,     11878,        2525,       5514,              ,                ,               ,    13896,       7509,      9680
 847,              ,                ,               ,     12000,        2549,       6065,              ,                ,               ,    13925,       7524,      9517
 848,              ,                ,               ,     12705,        2516,       5056,              ,                ,               ,    13913,       7517,      8369
 849,              ,                ,               ,     12975,        2515,       5379,              ,                ,               ,    13949,       7533,      8451
 850,              ,                ,               ,     12363,        2568,       5109,              ,                ,               ,    13975,       7550,      8534
 851,              ,                ,               ,     12319,        2515,       5291,              ,                ,               ,    14004,       7578,      8557
 852,              ,                ,               ,     12216,        2543,       5181,              ,                ,               ,    14026,       7584,      8382
 853,              ,                ,               ,     11890,        2546,       5251,              ,                ,               ,    14048,       7602,      8458
 854,              ,                ,               ,     12102,        2569,       5036,              ,                ,               ,    14056,       7597,      8492
 855,              ,                ,               ,     12514,        2562,       5949,              ,                ,               ,    14071,       7593,      8787
 856,              ,                ,               ,     12507,        2574,       5483,              ,                ,               ,    14076,       7608,      9510
 857,              ,                ,               ,     11986,        2587,       5383,              ,                ,               ,    14104,       7606,     10941
 858,              ,                ,               ,     12089,        2571,       5603,              ,                ,               ,    14126,       7639,      9422
 859,              ,                ,               ,     12278,        2570,       5521,              ,                ,               ,    14148,       7650,      8863
 860,              ,                ,               ,     12125,        2599,       6701,              ,                ,               ,    14140,       7617,     10017
 861,              ,                ,               ,     12206,        2603,       6303,              ,                ,               ,    14186,       7657,     11449
 862,              ,                ,               ,     12437,        2579,       7195,              ,                ,               ,    14204,       7657,      9892
 863,              ,                ,               ,     12843,        2551,       5759,              ,                ,               ,    14209,       7675,      8470
 864,              ,                ,               ,     11891,        2610,       5286,              ,                ,               ,    14229,       7678,      9282
 865,              ,                ,               ,     13197,        2559,       5757,              ,                ,               ,    14240,       7696,      8708
 866,              ,                ,               ,     12248,        2606,       4990,              ,                ,               ,    14289,       7719,      8718
 867,              ,                ,               ,     13812,        2542,       5534,              ,                ,               ,    14308,       7718,      8524
 868,              ,                ,               ,     12323,        2604,       4869,              ,                ,               ,    14321,       7725,      9124
 869,              ,                ,               ,     11968,        2648,       5664,              ,                ,               ,    14318,       7718,      8423
 870,              ,                ,               ,     13044,        2559,       5292,              ,                ,               ,    14341,       7740,      9004
 871,              ,                ,               ,     12536,        2639,       5055,              ,                ,               ,    14382,       7770,      8496
 872,              ,                ,               ,     12114,        2639,       5126,              ,                ,               ,    14378,       7756,      8718
