    n, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time
  385,      4889,        1060,       1884,     5433,       2982,      3094
  386,      4634,        1074,       1908,     5440,       2987,      3026
  387,      4642,        1067,       1984,     5432,       2974,      3062
  388,      4719,        1074,       2159,     5458,       2983,      3190
  389,      4943,        1066,       2009,     5494,       3019,      2991
  390,      4977,        1077,       2041,     5509,       3021,      3090
  391,      4940,        1066,       1995,     5517,       3022,      3051
  392,      4852,        1083,       2028,     5556,       3039,      3165
  393,      4890,        1059,       1985,     5567,       3052,      3204
  394,      5306,        1058,       2064,     5562,       3055,      3373
  395,      4717,        1075,       1913,     5584,       3063,      3213
  396,      5063,        1082,       1981,     5599,       3069,      3201
  397,      5365,        1064,       2104,     5632,       3087,      3211
  398,      4870,        1097,       2063,     5622,       3071,      3649
  399,      4708,        1099,       2024,     5637,       3086,      3662
  400,      4989,        1080,       2050,     5684,       3113,      3179
  401,      4762,        1121,       1974,     5699,       3120,      3529
  402,      4816,        1118,       2315,     5699,       3117,      3574
  403,      4894,        1127,       2058,     5722,       3127,      3309
  404,      5114,        1135,       2094,     5733,       3144,      3224
  405,      4930,        1113,       2087,     5760,       3153,      3365
  406,      4995,        1140,       2054,     5787,       3164,      3441
  407,      5326,        1113,       2339,     5795,       3174,      3447
  408,      5146,        1104,       2048,     5808,       3177,      3413
  409,      5137,        1123,       2115,     5825,       3196,      3395
  410,      5132,        1128,       2067,     5839,       3200,      3251
  411,      5474,        1131,       2237,     5847,       3194,      3531
  412,      5358,        1151,       2207,     5893,       3231,      3387
  413,      5429,        1124,       2360,     5905,       3238,      3351
  414,      4957,        1152,       1937,     5924,       3249,      3346
  415,      4900,        1161,       2058,     5922,       3251,      3385
  416,      5309,        1139,       2243,     5935,       3247,      3421
  417,      5271,        1142,       2129,     5968,       3277,      3308
  418,      5096,        1146,       2166,     5999,       3290,      3374
  419,      5246,        1141,       2152,     6037,       3316,      3536
  420,      5494,        1152,       2152,     6035,       3299,      3452
  421,      5274,        1142,       2143,     6060,       3323,      3439
  422,      5466,        1168,       2079,     6075,       3331,      3408
  423,      5330,        1147,       2344,     6084,       3344,      3431
  424,      5356,        1151,       2126,     6121,       3358,      3464
  425,      5468,        1168,       2292,     6137,       3374,      3404
  426,      5521,        1184,       2302,     6136,       3372,      3794
  427,      5266,        1174,       2423,     6162,       3379,      3509
  428,      5498,        1163,       2330,     6174,       3391,      3602
  429,      5403,        1181,       2197,     6182,       3391,      3592
  430,      5981,        1183,       2292,     6218,       3415,      3482
  431,      5522,        1188,       2172,     6223,       3415,      3586
  432,      5885,        1168,       2260,     6241,       3432,      3387
  433,      5486,        1201,       2198,     6280,       3452,      3520
  434,      5902,        1155,       2368,     6293,       3461,      3568
  435,      5182,        1214,       2141,     6304,       3457,      3547
  436,      5589,        1204,       2214,     6342,       3482,      3714
  437,      5427,        1206,       2200,     6349,       3491,      3590
  438,      5956,        1197,       2412,     6364,       3501,      3725
  439,      5371,        1212,       2386,     6394,       3507,      3756
  440,      5409,        1225,       2164,     6401,       3523,      3605
  441,      5459,        1245,       2301,     6419,       3533,      3781
  442,      5900,        1219,       2261,     6422,       3527,      3732
